10000
         34621426 function calls (34606623 primitive calls) in 9.130 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       26    0.000    0.000    0.000    0.000 core.py:7065(__init__)
      509    0.000    0.000    0.000    0.000 _inspect.py:13(ismethod)
        1    0.000    0.000    0.000    0.000 ipaddress.py:1579(_IPv4Constants)
        1    0.000    0.000    0.000    0.000 entities.py:1(<module>)
      135    0.000    0.000    0.000    0.000 core.py:2211(__eq__)
        1    0.000    0.000    0.000    0.000 markers.py:150(MarkerStyle)
       26    0.000    0.000    0.000    0.000 core.py:7071(getdoc)
       22    0.000    0.000    0.000    0.000 core.py:4533(_generateDefaultName)
        1    0.000    0.000    0.000    0.000 errors.py:1(<module>)
       52    0.000    0.000    0.000    0.000 ipaddress.py:1939(__init__)
       21    0.000    0.000    0.000    0.000 ipaddress.py:1512(__init__)
        4    0.000    0.000    0.000    0.000 core.py:1651(__mul__)
        1    0.000    0.000    0.000    0.000 _shape_base_impl.py:1(<module>)
1418/1412    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
      813    0.000    0.000    0.000    0.000 __init__.py:1003(<lambda>)
      734    0.000    0.000    0.000    0.000 enum.py:58(_is_sunder)
       14    0.000    0.000    0.000    0.000 core.py:5741(parseImpl)
       43    0.000    0.000    0.000    0.000 dataclasses.py:768(_get_field)
      327    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
       85    0.000    0.000    0.000    0.000 typing.py:341(_unpack_args)
      180    0.000    0.000    0.000    0.000 cm.py:94(__getitem__)
      818    0.000    0.000    0.000    0.000 _parser.py:82(groups)
        1    0.000    0.000    0.000    0.000 numbers.py:1(<module>)
        1    0.000    0.000    0.000    0.000 backend_bases.py:2769(NavigationToolbar2)
      213    0.000    0.000    0.000    0.000 _parser.py:230(__init__)
        1    0.000    0.000    0.000    0.000 struct.py:1(<module>)
        1    0.000    0.000    0.000    0.000 registry.py:1(<module>)
       26    0.000    0.000    0.000    0.000 core.py:972(__init__)
     1303    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      819    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 heapq.py:1(<module>)
      368    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
        1    0.000    0.000    0.000    0.000 __init__.py:599(matplotlib_fname)
        1    0.000    0.000    0.000    0.000 scale.py:748(_get_scale_docs)
        1    0.000    0.000    0.000    0.000 ImageMode.py:1(<module>)
       20    0.000    0.000    0.000    0.000 rcsetup.py:304(validate_color_for_prop_cycle)
      184    0.000    0.000    0.000    0.000 typing.py:1478(<genexpr>)
        1    0.000    0.000    0.000    0.000 array_utils.py:1(<module>)
      344    0.000    0.000    0.000    0.000 typing.py:1765(__eq__)
        7    0.000    0.000    0.000    0.000 core.py:1618(__radd__)
       13    0.000    0.000    0.000    0.000 typing.py:1715(copy_with)
        1    0.000    0.000    0.000    0.000 selectors.py:1(<module>)
      398    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:185(_path_isabs)
      184    0.000    0.000    0.000    0.000 colors.py:998(copy)
        1    0.000    0.000    0.000    0.000 _scimath_impl.py:1(<module>)
      213    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      366    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
        2    0.000    0.000    0.000    0.000 typing.py:3142(__new__)
       50    0.000    0.000    0.000    0.000 core.py:3455(parseImpl)
       12    0.000    0.000    0.000    0.000 _functools.py:75(wrapper)
      470    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
      490    0.000    0.000    0.000    0.000 _inspect.py:41(iscode)
      132    0.000    0.000    0.000    0.000 _parser.py:448(_uniq)
        3    0.000    0.000    0.000    0.000 __init__.py:620(gen_candidates)
       27    0.000    0.000    0.000    0.000 _local.py:227(__str__)
        1    0.000    0.000    0.000    0.000 rcsetup.py:677(cycler)
       78    0.000    0.000    0.000    0.000 core.py:4534(<genexpr>)
      132    0.000    0.000    0.000    0.000 inspect.py:1784(_check_class)
     12/2    0.000    0.000    0.000    0.000 core.py:1711(makeOptionalList)
        9    0.000    0.000    0.000    0.000 getlimits.py:494(__new__)
      509    0.000    0.000    0.000    0.000 _inspect.py:26(isfunction)
       58    0.000    0.000    0.000    0.000 typing.py:3794(__getattr__)
       11    0.000    0.000    0.000    0.000 typing.py:2199(__init_subclass__)
      648    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
        2    0.000    0.000    0.000    0.000 __init__.py:890(<genexpr>)
        1    0.000    0.000    0.000    0.000 relativedelta.py:1(<module>)
        1    0.000    0.000    0.000    0.000 mlab.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _color_data.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _endian.py:1(<module>)
       13    0.000    0.000    0.000    0.000 textwrap.py:470(indent)
       21    0.000    0.000    0.000    0.000 artist.py:44(allow_rasterization)
        1    0.000    0.000    0.000    0.000 threading.py:1(<module>)
      681    0.000    0.000    0.000    0.000 enum.py:199(__get__)
        1    0.000    0.000    0.000    0.000 ExifTags.py:305(GPS)
        7    0.000    0.000    0.000    0.000 typing.py:1748(__getitem__)
        1    0.000    0.000    0.000    0.000 __init__.py:563(get_configdir)
        2    0.000    0.000    0.000    0.000 __init__.py:756(search)
       25    0.000    0.000    0.000    0.000 transforms.py:1325(__init_subclass__)
        8    0.000    0.000    0.000    0.000 core.py:638(_setResultsName)
      706    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
       10    0.000    0.000    0.000    0.000 version.py:47(parse)
        5    0.000    0.000    0.000    0.000 typing.py:806(Optional)
      115    0.000    0.000    0.000    0.000 _parser.py:311(_class_escape)
       19    0.000    0.000    0.000    0.000 path.py:99(__init__)
        1    0.000    0.000    0.000    0.000 _nested_sequence.py:1(<module>)
        1    0.000    0.000    0.000    0.000 patches.py:3167(ArrowStyle)
      184    0.000    0.000    0.000    0.000 colors.py:815(__copy__)
      194    0.000    0.000    0.000    0.000 results.py:181(__new__)
        1    0.000    0.000    0.000    0.000 bisect.py:1(<module>)
        1    0.000    0.000    0.000    0.000 collections.py:28(Collection)
      114    0.000    0.000    0.000    0.000 <frozen posixpath>:72(join)
       84    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
       14    0.000    0.000    0.000    0.000 __init__.py:241(split)
        8    0.000    0.000    0.000    0.000 dataclasses.py:610(_init_fn)
       44    0.000    0.000    0.000    0.000 functools.py:504(lru_cache)
        1    0.000    0.000    0.000    0.000 bezier.py:1(<module>)
        5    0.000    0.000    0.000    0.000 dataclasses.py:1222(_add_slots)
       38    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:169(_path_isdir)
     1128    0.000    0.000    0.000    0.000 _parser.py:112(__init__)
       23    0.000    0.000    0.000    0.000 core.py:5733(__init__)
        4    0.000    0.000    0.000    0.000 getlimits.py:550(_init)
       10    0.000    0.000    0.000    0.000 version.py:188(__init__)
      327    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
        1    0.000    0.000    0.000    0.000 TiffTags.py:444(_populate)
        1    0.000    0.000    0.000    0.000 results.py:1(<module>)
       23    0.000    0.000    0.000    0.000 colors.py:1234(reversed)
        1    0.000    0.000    0.000    0.000 _stride_tricks_impl.py:1(<module>)
       10    0.000    0.000    0.000    0.000 path.py:191(_create_closed)
        7    0.000    0.000    0.000    0.000 {built-in method _io.open}
       46    0.000    0.000    0.000    0.000 colors.py:1194(__init__)
      389    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
       37    0.000    0.000    0.000    0.000 <frozen abc>:110(register)
      405    0.000    0.000    0.000    0.000 socket.py:94(<lambda>)
       20    0.000    0.000    0.000    0.000 _local.py:289(drive)
        9    0.000    0.000    0.000    0.000 core.py:1875(__call__)
        1    0.000    0.000    0.000    0.000 unicode.py:123(pyparsing_unicode)
        1    0.000    0.000    0.000    0.000 isoparser.py:1(<module>)
      162    0.000    0.000    0.000    0.000 core.py:2678(__new__)
        1    0.000    0.000    0.000    0.000 getlimits.py:1(<module>)
      105    0.000    0.000    0.000    0.000 {method '__typing_prepare_subst__' of 'typing.TypeVar' objects}
      182    0.000    0.000    0.000    0.000 _compiler.py:470(_get_charset_prefix)
        1    0.000    0.000    0.000    0.000 _nbit_base.py:1(<module>)
     1691    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
      478    0.000    0.000    0.000    0.000 inspect.py:302(isclass)
      513    0.000    0.000    0.000    0.000 typing.py:1096(__eq__)
       37    0.000    0.000    0.000    0.000 {built-in method _abc._abc_register}
       11    0.000    0.000    0.000    0.000 typing.py:2073(__init__)
      546    0.000    0.000    0.000    0.000 {built-in method numpy.asanyarray}
       30    0.000    0.000    0.000    0.000 _inspect.py:141(formatargspec)
       18    0.000    0.000    0.000    0.000 contextlib.py:276(contextmanager)
       31    0.000    0.000    0.000    0.000 ipaddress.py:1286(__init__)
      404    0.000    0.000    0.000    0.000 socket.py:89(<lambda>)
        1    0.000    0.000    0.000    0.000 charset.py:1(<module>)
      402    0.000    0.000    0.000    0.000 socket.py:79(<lambda>)
      403    0.000    0.000    0.000    0.000 socket.py:84(<lambda>)
        1    0.000    0.000    0.000    0.000 patches.py:4135(FancyArrowPatch)
      569    0.000    0.000    0.000    0.000 _parser.py:171(__setitem__)
        1    0.000    0.000    0.000    0.000 __init__.py:582(get_cachedir)
     1083    0.000    0.000    0.000    0.000 {built-in method builtins.id}
       47    0.000    0.000    0.000    0.000 results.py:518(__iadd__)
        1    0.000    0.000    0.000    0.000 seq_collections.py:1(<module>)
      426    0.000    0.000    0.000    0.000 _compiler.py:573(isstring)
        1    0.000    0.000    0.000    0.000 shlex.py:1(<module>)
       18    0.000    0.000    0.000    0.000 core.py:1048(__init__)
      642    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
        4    0.000    0.000    0.000    0.000 colors.py:2612(_make_norm_from_scale)
        1    0.000    0.000    0.000    0.000 legend_handler.py:1(<module>)
      590    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 core.py:125(Diagnostics)
       16    0.000    0.000    0.000    0.000 artist.py:23(_prevent_rasterization)
       14    0.000    0.000    0.000    0.000 _local.py:166(__fspath__)
        1    0.000    0.000    0.000    0.000 isoparser.py:42(isoparser)
        1    0.000    0.000    0.000    0.000 dviread.py:202(Dvi)
        1    0.000    0.000    0.000    0.000 message.py:135(Message)
        7    0.000    0.000    0.000    0.000 core.py:6450(__add__)
       42    0.000    0.000    0.000    0.000 numeric.py:171(ones)
       32    0.000    0.000    0.000    0.000 enum.py:1014(_find_new_)
        1    0.000    0.000    0.000    0.000 _encoded_words.py:1(<module>)
      642    0.000    0.000    0.000    0.000 __init__.py:681(_set)
        1    0.000    0.000    0.000    0.000 legend.py:342(Legend)
        2    0.000    0.000    0.000    0.000 __init__.py:907(read_text)
        1    0.000    0.000    0.000    0.000 read.py:1(<module>)
      195    0.000    0.000    0.000    0.000 _shape_base_impl.py:624(_column_stack_dispatcher)
       35    0.000    0.000    0.000    0.000 ipaddress.py:1661(_ip_int_from_string)
        1    0.000    0.000    0.000    0.000 gzip.py:1(<module>)
      137    0.000    0.000    0.000    0.000 colors.py:1012(__init__)
        1    0.000    0.000    0.000    0.000 streamplot.py:1(<module>)
       13    0.000    0.000    0.000    0.000 core.py:8758(__init__)
       50    0.000    0.000    0.000    0.000 {built-in method builtins.sum}
       30    0.000    0.000    0.000    0.000 typing.py:1639(<genexpr>)
        1    0.000    0.000    0.000    0.000 read_fasta.py:1(<module>)
      476    0.000    0.000    0.000    0.000 enum.py:69(_is_internal_class)
        1    0.000    0.000    0.000    0.000 ExifTags.py:361(LightSource)
        5    0.000    0.000    0.000    0.000 textwrap.py:419(dedent)
      705    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
       11    0.000    0.000    0.000    0.000 typing.py:1927(_get_protocol_attrs)
       22    0.000    0.000    0.000    0.000 ipaddress.py:1187(_ip_int_from_string)
        1    0.000    0.000    0.000    0.000 transforms.py:83(TransformNode)
        1    0.000    0.000    0.000    0.000 __init__.py:427(<genexpr>)
       44    0.000    0.000    0.000    0.000 getlimits.py:93(_float_to_float)
        2    0.000    0.000    0.000    0.000 deprecation.py:255(rename_parameter)
      632    0.000    0.000    0.000    0.000 {method '__subclasses__' of 'type' objects}
       46    0.000    0.000    0.000    0.000 typing.py:1742(<genexpr>)
      213    0.000    0.000    0.000    0.000 _parser.py:954(fix_flags)
        3    0.000    0.000    0.000    0.000 _abc.py:754(home)
        2    0.000    0.000    0.000    0.000 __init__.py:765(lookup)
      467    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
        2    0.000    0.000    0.000    0.000 _local.py:664(resolve)
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:1(<module>)
      372    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
       13    0.000    0.000    0.000    0.000 core.py:8763(getdoc)
      322    0.000    0.000    0.000    0.000 rcsetup.py:893(_convert_validator_spec)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1576(find_distributions)
        1    0.000    0.000    0.000    0.000 _meta.py:1(<module>)
      428    0.000    0.000    0.000    0.000 {built-in method builtins.globals}
        1    0.000    0.000    0.000    0.000 _parser.py:58(_timelex)
        1    0.000    0.000    0.000    0.000 _exceptions.py:1(<module>)
  194/178    0.000    0.000    0.000    0.000 results.py:204(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:775(__init__)
      774    0.000    0.000    0.000    0.000 {function RcParams.__getitem__ at 0x7abaaeb3fec0}
        1    0.000    0.000    0.000    0.000 seq_collections.py:6(SeqCollections)
        1    0.000    0.000    0.000    0.000 _collections.py:1(<module>)
        1    0.000    0.000    0.000    0.000 encode_dna.py:1(<module>)
       11    0.000    0.000    0.000    0.000 functools.py:677(cache)
        1    0.000    0.000    0.000    0.000 __init__.py:871(find_distributions)
       24    0.000    0.000    0.000    0.000 dviread.py:184(decorate)
        1    0.000    0.000    0.000    0.000 _iotools.py:1(<module>)
       66    0.000    0.000    0.000    0.000 inspect.py:2140(_signature_is_builtin)
      846    0.000    0.000    0.000    0.000 {built-in method sys.getrecursionlimit}
      187    0.000    0.000    0.000    0.000 feedparser.py:129(__next__)
      128    0.000    0.000    0.000    0.000 <frozen posixpath>:61(isabs)
      225    0.000    0.000    0.000    0.000 inspect.py:306(ismethod)
        1    0.000    0.000    0.000    0.000 win.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:886(_search_paths)
        8    0.000    0.000    0.000    0.000 core.py:4788(_generateDefaultName)
       56    0.000    0.000    0.000    0.000 ipaddress.py:533(_split_addr_prefix)
        1    0.000    0.000    0.000    0.000 unicode.py:85(identchars)
       77    0.000    0.000    0.000    0.000 numerictypes.py:475(issubdtype)
      335    0.000    0.000    0.000    0.000 {built-in method numpy._core._multiarray_umath.add_docstring}
        2    0.000    0.000    0.000    0.000 _local.py:539(read_text)
        2    0.000    0.000    0.000    0.000 __init__.py:851(normalize)
      369    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
        2    0.000    0.000    0.000    0.000 <frozen posixpath>:391(realpath)
        1    0.000    0.000    0.000    0.000 __init__.py:844(__init__)
      150    0.000    0.000    0.000    0.000 inspect.py:1810(_shadowed_dict)
        1    0.000    0.000    0.000    0.000 backend_bases.py:1008(TimerBase)
       12    0.000    0.000    0.000    0.000 typing.py:1256(_generic_init_subclass)
        1    0.000    0.000    0.000    0.000 ImageColor.py:1(<module>)
       23    0.000    0.000    0.000    0.000 _local.py:257(_parse_path)
        1    0.000    0.000    0.000    0.000 quoprimime.py:1(<module>)
        4    0.000    0.000    0.000    0.000 ast.py:30(parse)
        4    0.000    0.000    0.000    0.000 contextlib.py:136(__enter__)
        3    0.000    0.000    0.000    0.000 _local.py:800(expanduser)
        2    0.000    0.000    0.000    0.000 _abc.py:628(read_text)
        1    0.000    0.000    0.000    0.000 feedparser.py:472(_parse_headers)
      110    0.000    0.000    0.000    0.000 __init__.py:28(decorator)
      265    0.000    0.000    0.000    0.000 overrides.py:107(array_function_dispatch)
        1    0.000    0.000    0.000    0.000 __init__.py:61(Sectioned)
        1    0.000    0.000    0.000    0.000 _globals.py:66(_CopyMode)
        1    0.000    0.000    0.000    0.000 exceptions.py:30(ParseBaseException)
       66    0.000    0.000    0.000    0.000 inspect.py:2487(_descriptor_get)
        1    0.000    0.000    0.000    0.000 hatch.py:1(<module>)
      642    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:158(__init__)
        1    0.000    0.000    0.000    0.000 patches.py:3888(FancyBboxPatch)
        1    0.000    0.000    0.000    0.000 unicode.py:99(identbodychars)
        1    0.000    0.000    0.000    0.000 backend_tools.py:29(Cursors)
      151    0.000    0.000    0.000    0.000 TiffTags.py:35(__new__)
       59    0.000    0.000    0.000    0.000 core.py:2103(set_name)
        1    0.000    0.000    0.000    0.000 _distributor_init.py:1(<module>)
        6    0.000    0.000    0.000    0.000 numeric.py:2739(extend_all)
       33    0.000    0.000    0.000    0.000 dataclasses.py:437(add_fn)
        2    0.000    0.000    0.000    0.000 deprecation.py:314(delete_parameter)
        1    0.000    0.000    0.000    0.000 _adapters.py:19(Message)
       44    0.000    0.000    0.000    0.000 core.py:3451(_generateDefaultName)
       36    0.000    0.000    0.000    0.000 dataclasses.py:709(_is_type)
       27    0.000    0.000    0.000    0.000 _local.py:498(__init__)
       24    0.000    0.000    0.000    0.000 __init__.py:1410(_fixupParents)
        1    0.000    0.000    0.000    0.000 umath.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:265(_reset_cache)
        7    0.000    0.000    0.000    0.000 enum.py:1596(__or__)
      195    0.000    0.000    0.000    0.000 shape_base.py:208(_arrays_for_stack_dispatcher)
        1    0.000    0.000    0.000    0.000 core.py:5629(__init__)
      313    0.000    0.000    0.000    0.000 {built-in method sys.intern}
        1    0.000    0.000    0.000    0.000 calendar.py:77(Day)
       16    0.000    0.000    0.000    0.000 copyreg.py:107(_slotnames)
        1    0.000    0.000    0.000    0.000 core.py:5000(ParseElementEnhance)
       32    0.000    0.000    0.000    0.000 enum.py:936(_check_for_existing_members_)
     18/1    0.000    0.000    0.000    0.000 ast.py:418(visit)
        1    0.000    0.000    0.000    0.000 calendar.py:60(Month)
       22    0.000    0.000    0.000    0.000 <frozen os>:712(__getitem__)
        1    0.000    0.000    0.000    0.000 lines.py:230(Line2D)
       88    0.000    0.000    0.000    0.000 ipaddress.py:1213(_parse_octet)
      617    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
       25    0.000    0.000    0.000    0.000 __init__.py:1478(__init__)
        4    0.000    0.000    0.000    0.000 __init__.py:869(_open_file_or_url)
        1    0.000    0.000    0.000    0.000 testing.py:1(<module>)
       44    0.000    0.000    0.000    0.000 core.py:4442(<genexpr>)
     18/1    0.000    0.000    0.000    0.000 ast.py:424(generic_visit)
        1    0.000    0.000    0.000    0.000 patches.py:2380(BoxStyle)
      183    0.000    0.000    0.000    0.000 colors.py:692(__init__)
        4    0.000    0.000    0.000    0.000 functools.py:878(register)
        1    0.000    0.000    0.000    0.000 __init__.py:876(blas_fpe_check)
       48    0.000    0.000    0.000    0.000 _internal.py:893(_ufunc_doc_signature_formatter)
       38    0.000    0.000    0.000    0.000 _parser.py:273(getuntil)
       10    0.000    0.000    0.000    0.000 _text.py:79(__hash__)
        1    0.000    0.000    0.000    0.000 core.py:4198(ParseExpression)
      201    0.000    0.000    0.000    0.000 rcsetup.py:191(validator)
        2    0.000    0.000    0.000    0.000 {built-in method _ctypes.POINTER}
        1    0.000    0.000    0.000    0.000 __config__.py:14(DisplayModes)
      224    0.000    0.000    0.000    0.000 _compiler.py:31(_combine_flags)
       30    0.000    0.000    0.000    0.000 core.py:4789(<genexpr>)
      950    0.000    0.000    0.000    0.000 inspect.py:3111(parameters)
        8    0.000    0.000    0.000    0.000 core.py:5448(__init__)
        1    0.000    0.000    0.000    0.000 path.py:24(Path)
        1    0.000    0.000    0.000    0.000 feedparser.py:102(push)
        1    0.000    0.000    0.000    0.000 rrule.py:1307(rruleset)
       16    0.000    0.000    0.000    0.000 _abc.py:130(with_segments)
      131    0.000    0.000    0.000    0.000 typing.py:1802(_value_and_type_iter)
        1    0.000    0.000    0.000    0.000 rcsetup.py:36(__getattr__)
        4    0.000    0.000    0.000    0.000 inspect.py:3145(__hash__)
       32    0.000    0.000    0.000    0.000 enum.py:346(__init__)
        1    0.000    0.000    0.000    0.000 core.py:5928(Forward)
        1    0.000    0.000    0.000    0.000 complement.py:1(<module>)
        2    0.000    0.000    0.000    0.000 core.py:602(set_results_name)
        1    0.000    0.000    0.000    0.000 core.py:6752(__new__)
        1    0.000    0.000    0.000    0.000 tokenize.py:451(open)
      187    0.000    0.000    0.000    0.000 feedparser.py:79(readline)
      133    0.000    0.000    0.000    0.000 colors.py:219(_is_nth_color)
        4    0.000    0.000    0.000    0.000 core.py:1196(__init__)
        1    0.000    0.000    0.000    0.000 _ufunc_config.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:503(_get_xdg_config_dir)
       22    0.000    0.000    0.000    0.000 __init__.py:147(check_shape)
      323    0.000    0.000    0.000    0.000 __init__.py:821(__iter__)
      254    0.000    0.000    0.000    0.000 core.py:4218(<genexpr>)
        6    0.000    0.000    0.000    0.000 abc.py:41(_register)
        1    0.000    0.000    0.000    0.000 patches.py:1313(Arrow)
        2    0.000    0.000    0.000    0.000 core.py:4337(_setResultsName)
      247    0.000    0.000    0.000    0.000 <frozen posixpath>:42(_get_sep)
      170    0.000    0.000    0.000    0.000 textwrap.py:483(<lambda>)
        2    0.000    0.000    0.000    0.000 _local.py:529(open)
        4    0.000    0.000    0.000    0.000 colors.py:2630(Norm)
        1    0.000    0.000    0.000    0.000 testing.py:17(pyparsing_test)
        1    0.000    0.000    0.000    0.000 _cm.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _colorize.py:1(<module>)
       99    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
        1    0.000    0.000    0.000    0.000 core.py:3805(__init__)
        4    0.000    0.000    0.000    0.000 core.py:3227(copy)
      372    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(__init__)
        4    0.000    0.000    0.000    0.000 getlimits.py:88(_str_smallest_subnormal)
      572    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
      248    0.000    0.000    0.000    0.000 patches.py:2353(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:812(_sanity_check)
        1    0.000    0.000    0.000    0.000 _docstring.py:1(<module>)
        1    0.000    0.000    0.000    0.000 Image.py:127(Transpose)
        1    0.000    0.000    0.000    0.000 cbook.py:597(_get_data_path)
      133    0.000    0.000    0.000    0.000 core.py:1929(set_whitespace_chars)
        1    0.000    0.000    0.000    0.000 offsetbox.py:1213(AnnotationBbox)
      559    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:653(has_location)
       21    0.000    0.000    0.000    0.000 overrides.py:24(get_array_function_like_doc)
        1    0.000    0.000    0.000    0.000 typing.py:797(_make_union)
        1    0.000    0.000    0.000    0.000 analysis_result.py:7(AnalysisResult)
        1    0.000    0.000    0.000    0.000 quopri.py:1(<module>)
        1    0.000    0.000    0.000    0.000 abc.py:62(Traversable)
        1    0.000    0.000    0.000    0.000 ImageFile.py:727(PyCodecState)
        1    0.000    0.000    0.000    0.000 patches.py:2745(ConnectionStyle)
       27    0.000    0.000    0.000    0.000 _local.py:117(__init__)
        1    0.000    0.000    0.000    0.000 patches.py:4517(ConnectionPatch)
        1    0.000    0.000    0.000    0.000 transforms.py:2104(IdentityTransform)
        1    0.000    0.000    0.000    0.000 _triinterpolate.py:578(_ReducedHCT_Element)
        2    0.000    0.000    0.000    0.000 _local.py:717(mkdir)
      213    0.000    0.000    0.000    0.000 _parser.py:76(__init__)
        1    0.000    0.000    0.000    0.000 backend_bases.py:677(GraphicsContextBase)
        7    0.000    0.000    0.000    0.000 core.py:3944(__init__)
      327    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1185(__init__)
       30    0.000    0.000    0.000    0.000 rcsetup.py:63(__init__)
       35    0.000    0.000    0.000    0.000 ipaddress.py:1641(_make_netmask)
        1    0.000    0.000    0.000    0.000 kmer_result.py:6(KmerResult)
        3    0.000    0.000    0.000    0.000 six.py:887(wrapper)
        1    0.000    0.000    0.000    0.000 _compression.py:1(<module>)
      113    0.000    0.000    0.000    0.000 typing.py:1807(__eq__)
       25    0.000    0.000    0.000    0.000 {built-in method unicodedata.name}
        5    0.000    0.000    0.000    0.000 <frozen posixpath>:229(expanduser)
        4    0.000    0.000    0.000    0.000 _version.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pprint.py:1(<module>)
        1    0.000    0.000    0.000    0.000 container.py:1(<module>)
       50    0.000    0.000    0.000    0.000 getlimits.py:103(_float_conv)
        1    0.000    0.000    0.000    0.000 memmap.py:1(<module>)
        6    0.000    0.000    0.000    0.000 core.py:5583(__init__)
       20    0.000    0.000    0.000    0.000 _local.py:277(_raw_path)
       12    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
        1    0.000    0.000    0.000    0.000 mixins.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _trifinder.py:1(<module>)
       55    0.000    0.000    0.000    0.000 {built-in method numpy.empty}
      403    0.000    0.000    0.000    0.000 _compiler.py:431(_get_iscased)
       66    0.000    0.000    0.000    0.000 inspect.py:2154(_signature_is_functionlike)
        3    0.000    0.000    0.000    0.000 core.py:2720(__init__)
        1    0.000    0.000    0.000    0.000 backend_managers.py:1(<module>)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:130(Blend)
       14    0.000    0.000    0.000    0.000 {method 'split' of 're.Pattern' objects}
        1    0.000    0.000    0.000    0.000 core.py:2770(MaskedArray)
        1    0.000    0.000    0.000    0.000 numeric.py:2231(identity)
        1    0.000    0.000    0.000    0.000 core.py:103(__diag__)
      206    0.000    0.000    0.000    0.000 {method 'values' of 'mappingproxy' objects}
      154    0.000    0.000    0.000    0.000 numerictypes.py:293(issubclass_)
        3    0.000    0.000    0.000    0.000 ast.py:54(literal_eval)
        8    0.000    0.000    0.000    0.000 <frozen _collections_abc>:815(__contains__)
       44    0.000    0.000    0.000    0.000 getlimits.py:26(_fr1)
        1    0.000    0.000    0.000    0.000 pickle.py:1180(_Unpickler)
       50    0.000    0.000    0.000    0.000 _add_newdocs.py:6629(refer_to_array_attribute)
        1    0.000    0.000    0.000    0.000 typing.py:1675(__or__)
       14    0.000    0.000    0.000    0.000 __init__.py:145(_check_size)
        1    0.000    0.000    0.000    0.000 widgets.py:2456(SpanSelector)
       29    0.000    0.000    0.000    0.000 cbook.py:1347(_to_unmasked_float_array)
        3    0.000    0.000    0.000    0.000 core.py:1763(__xor__)
        2    0.000    0.000    0.000    0.000 core.py:3840(_generateDefaultName)
        1    0.000    0.000    0.000    0.000 _parser.py:569(__init__)
       37    0.000    0.000    0.000    0.000 {built-in method numpy.arange}
        1    0.000    0.000    0.000    0.000 __init__.py:513(_get_xdg_cache_dir)
      130    0.000    0.000    0.000    0.000 unicode.py:105(<genexpr>)
       10    0.000    0.000    0.000    0.000 <frozen _collections_abc>:808(get)
       88    0.000    0.000    0.000    0.000 six.py:146(__init__)
      101    0.000    0.000    0.000    0.000 core.py:6590(_expanded)
      122    0.000    0.000    0.000    0.000 core.py:874(preParse)
        1    0.000    0.000    0.000    0.000 _datasource.py:1(<module>)
        4    0.000    0.000    0.000    0.000 core.py:6299(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:334(__new__)
